Name,Rating,Advantage,Disadvantage,Reviews,Salary,Interview,Jobs,Industry,Employees,Ownership,Age,Location,Work Place
IQVIA,4.0,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,3.6k,27.5k,372,33,Clinical Research , 10k-50k Employees , Forbes Global 2000 , 42 years old , Durham +45 more,
Nagarro,4.1,"Company Culture, Work Life Balance, Salary & Benefits",,3.7k,26.7k,597,--,IT Services & Consulting , 10k-50k Employees , 28 years old , Munich +43 more,,
Cholamandalam Investment & Finance,4.1,"Salary & Benefits, Job Security, Skill Development / Learning",,3.6k,10.1k,142,46,NBFC , 10k-50k Employees , Fortune India 500 , 46 years old , Chennai +657 more,
SMFG India Credit,4.1,"Salary & Benefits, Job Security, Company Culture",,3.6k,10.3k,134,152,NBFC , 10k-50k Employees , 17 years old , Mumbai +492 more,,
Bosch,4.3,"Company Culture, Work Life Balance, Job Security",,3.5k,20.2k,279,--,Auto Components , 5k-10k Employees , Public , 138 years old , Gerlingen +103 more,
Reliance Communications,4.0,Skill Development / Learning,Promotions / Appraisal,3.3k,11.3k,77,--,Telecom , 201-500 Employees , Public , 22 years old , Navi Mumbai +428 more,
BNY,4.0,"Company Culture, Work Life Balance, Salary & Benefits",Promotions / Appraisal,3.6k,28.6k,279,403,Investment Banking / Venture Capital / Private Equity , 10k-50k Employees , Forbes Global 2000 , 240 years old , New York City +16 more,
L&T Technology Services,3.4,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,3.9k,36.3k,420,--,IT Services & Consulting , 10k-50k Employees , Public , 12 years old , Vadodara/Baroda +52 more,
Schneider Electric,4.2,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal,3.5k,21.5k,273,42,Industrial Automation , 10k-50k Employees , Forbes Global 2000 , 25 years old , Paris +117 more,
Hyundai Motor India Limited,4.4,"Job Security, Salary & Benefits, Skill Development / Learning",,3.4k,13k,215,--,Automobile , 10k-50k Employees , Fortune India 500 , 57 years old , Seoul +270 more,
Amdocs,4.0,"Company Culture, Job Security",Promotions / Appraisal,3.5k,35.3k,439,--,Software Product , 10k-50k Employees , Forbes Global 2000 , 42 years old , Chesterfield +14 more,
Oyo Rooms,3.4,"Job Security, Promotions / Appraisal, Work Satisfaction",,3.4k,24k,196,--,Hospitality , 1k-5k Employees , Indian Unicorn , 12 years old , Gurgaon +116 more,
Swiggy,3.8,"Job Security, Promotions / Appraisal",,3.5k,19.6k,331,--,Internet , 5k-10k Employees , Indian Unicorn , 10 years old , Bangalore +193 more,
CBRE,4.2,"Skill Development / Learning, Company Culture, Job Security",,3.4k,16.1k,210,--,Real Estate , 10k-50k Employees , Forbes Global 2000 , 118 years old , Los Angeles +75 more,
State Bank of India,3.8,Job Security,"Work Life Balance, Company Culture, Work Satisfaction",3.4k,10.3k,197,11,Banking , 1 Lakh+ Employees , Fortune India 500 , 218 years old , Mumbai +498 more,
JBM Group,4.0,"Job Security, Skill Development / Learning",,3.3k,13.2k,215,--,Auto Components , 1k-5k Employees , Public , 41 years old , Gurgaon/Gurugram +87 more,
BT Group,4.1,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,3.3k,10.8k,129,88,Telecom , 10k-50k Employees , Forbes Global 2000 , 178 years old , London +18 more,
SBI Life Insurance Company,3.9,Job Security,Promotions / Appraisal,3.3k,10.5k,190,--,Insurance , 10k-50k Employees , 23 years old , Mumbai +532 more,,
Optum,4.0,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,3.5k,27.5k,345,--,Healthcare , 10k-50k Employees , 47 years old , Prairie +32 more,,
